id,scope,category,name,reported_versions,verification,source
GENVI-BAT-018,ORAS,battle,Type-changing Curse glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_battle_glitches_in_Generation_VI
GENVI-BAT-019,ORAS,battle,White Herb Contrary O-Power oversight,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_battle_glitches_in_Generation_VI
GENVI-OVR-001,XY,overworld,Backward sign-reading glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-002,XY,overworld,Day Care signpost oversight,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-003,XY,event,Invisible Poke Ball glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-004,XY,collision,Lumiose City fence glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-005,XY,audio,Poke Radar music glitch,1.0 1.2 1.3 reported,public_seed_needs_version_matrix,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-006,XY,graphics,Santalune Gym tent oversight,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-007,XY,event,Sky Trainer interaction glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-008,XY,save,Lumiose City save glitch,1.0,officially_fixed,https://support.nintendo.com/jp/3ds/soft/ekjj/update/index.html
GENVI-OVR-009,ORAS,overworld,Day-Care Lad glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-010,ORAS,graphics,Disappearing bike glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-011,ORAS,freeze,Evolving Wailmer Surf glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-012,ORAS,text,Hiker TM70 Flash oversight,all,public_seed_language_specific,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-013,ORAS,softlock,Lilycove load game softlock,all,public_seed_needs_root_cause,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-014,ORAS,npc,Route 112 Hiker moving glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
GENVI-OVR-015,ORAS,event,Route 119 Trainer Rematch glitch,all,public_seed_unverified,https://bulbapedia.bulbagarden.net/wiki/List_of_overworld_glitches_(Generation_VI)
