path,status,present_in,missing_from,sha256_by_rom,size_by_rom
/a/0/2/0,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""ffc35362fa9e0880fa8023a89c34a94adbc78f06aa28ae966ff4028ad3d6b7e0"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""ffc35362fa9e0880fa8023a89c34a94adbc78f06aa28ae966ff4028ad3d6b7e0""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 589656, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 589656}"
/a/0/2/1,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""55abbdd5668b0bb4cffdfcb51d4c75f2ffcb612141aa4c86fea256cce62e34be"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""55abbdd5668b0bb4cffdfcb51d4c75f2ffcb612141aa4c86fea256cce62e34be""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 51400, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 51400}"
/a/0/2/2,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""e6902f8f1eb1b63f9d3f23caf2e6eee4f981f6773a118324d8fff6a9559e5d68"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""e6902f8f1eb1b63f9d3f23caf2e6eee4f981f6773a118324d8fff6a9559e5d68""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 33076, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 33076}"
/a/0/2/3,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""31f3222bb317406d558a130bcfbff12cf49f76e05dd9f89cda8ef4e319a4a4d2"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""31f3222bb317406d558a130bcfbff12cf49f76e05dd9f89cda8ef4e319a4a4d2""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 4480, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 4480}"
/a/0/2/4,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""3dc3990ebb7ea6f86bdde80204b82a79427cae3c09d55b11a0c3c7e4aa2392e8"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""3dc3990ebb7ea6f86bdde80204b82a79427cae3c09d55b11a0c3c7e4aa2392e8""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 5372, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 5372}"
/a/0/2/5,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""0e47c9b5f7c24199bd56d0576f276dabbf4c1d8aa68922caa3ac4ec2699d0865"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""0e47c9b5f7c24199bd56d0576f276dabbf4c1d8aa68922caa3ac4ec2699d0865""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 4688, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 4688}"
/a/0/2/6,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""b9e5fdc4781e07ff904efb3605eec2b94824c8ef8e4f04f7d9745612efeded99"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""b9e5fdc4781e07ff904efb3605eec2b94824c8ef8e4f04f7d9745612efeded99""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 255536, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 255536}"
/a/0/2/7,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""0c7ebaa0dc09164a5a012d773bb2d26a732137d9dd2c02b4ec50bf9610505224"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""0c7ebaa0dc09164a5a012d773bb2d26a732137d9dd2c02b4ec50bf9610505224""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 3001268, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 3001268}"
/a/0/2/8,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""f02b453a55678f112c31b7a78b794d132b25212641a767f83f3cf42017cd704d"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""f02b453a55678f112c31b7a78b794d132b25212641a767f83f3cf42017cd704d""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 41524, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 41524}"
/a/0/2/9,subset_present,"[""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)""]","[""Pokémon Diamond Version (USA, ADAE, header ROM version 5)"", ""Pokémon Pearl Version (USA, APAE, header ROM version 5)"", ""포켓몬스터Pt 기라티나 (Korea, CPUK, header ROM version 0)""]","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": ""e54dfd9750e32d09e00242c145894e8fb5ae7e80266b546a2902c12b6e7caf93"", ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": ""e54dfd9750e32d09e00242c145894e8fb5ae7e80266b546a2902c12b6e7caf93""}","{""포켓몬스터 소울실버 (Korea, IPGK, header ROM version 0)"": 2423552, ""포켓몬스터 하트골드 (Korea, IPKK, header ROM version 0)"": 2423552}"
